GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
workoutService,com.workoutService.POJO,NewRepetition,17,0,0,0,8,0,5,0,5,0
workoutService,com.workoutService.POJO,NewRating,10,0,0,0,5,0,3,0,3,0
workoutService,com.workoutService.POJO,NewExercise,36,0,0,0,15,0,9,0,9,0
workoutService,com.workoutService.POJO,NewWorkout,41,0,0,0,16,0,9,0,9,0
workoutService,com.workoutService.Entities,Tag,28,13,0,0,12,4,8,1,8,1
workoutService,com.workoutService.Entities,Exercise,23,20,0,0,11,7,6,5,6,5
workoutService,com.workoutService.Entities,Repetition,19,12,0,0,9,4,5,4,5,4
workoutService,com.workoutService.Entities,WorkoutTag,21,3,0,0,9,1,6,1,6,1
workoutService,com.workoutService.Entities,Rating,18,6,0,0,8,3,5,2,5,2
workoutService,com.workoutService.Entities,ExerciseTag,21,3,0,0,9,1,6,1,6,1
workoutService,com.workoutService.Entities,Workout,35,33,0,0,16,10,9,6,9,6
workoutService,com.workoutService,DatabaseConfig,0,16,0,0,0,4,0,2,0,2
workoutService,com.workoutService,Main,5,3,0,0,2,1,1,1,1,1
workoutService,com.workoutService.Service,WorkoutService,138,25,7,1,31,6,8,4,4,4
workoutService,com.workoutService.Service,Tagservice,4,3,0,0,1,1,1,1,1,1
workoutService,com.workoutService.Service,WorkoutRatingService,42,3,2,0,11,1,2,1,1,1
workoutService,com.workoutService.Service,ExerciseService,79,25,3,1,19,6,5,4,3,4
workoutService,com.workoutService.Controllers,WorkoutsController,5,23,0,0,1,5,1,4,1,4
workoutService,com.workoutService.Controllers,WorkoutRatingsController,6,3,0,0,1,1,1,1,1,1
workoutService,com.workoutService.Controllers,TagsController,4,3,0,0,1,1,1,1,1,1
workoutService,com.workoutService.Controllers,ExerciseController,5,23,0,0,1,5,1,4,1,4
